case_id,vin_fraction,vin_v,ngspice_vout_v,xyce_vout_v,absolute_vout_difference_v,ngspice_supply_current_a,xyce_supply_current_a,absolute_supply_current_difference_a
v100_t050_r0125,0.45,0.045000000000000005,0.011318988580714721,0.011319641458684004,6.528779692826364e-07,2.308255523466063e-08,2.3082278541643712e-08,2.7669301691863064e-13
v100_t050_r0125,0.46,0.046000000000000006,0.011226581910178531,0.011227224144453098,6.422342745671106e-07,2.312464365841733e-08,2.312437096430402e-08,2.7269411330886154e-13
v100_t050_r0125,0.47000000000000003,0.04700000000000001,0.011135457959304332,0.01113608972917666,6.317698723282833e-07,2.316618692112403e-08,2.3165918174298493e-08,2.687468255377052e-13
v100_t050_r0125,0.48,0.048,0.011045595748236603,0.011046217230461383,6.21482224780201e-07,2.320719295855787e-08,2.3206928107541137e-08,2.6485101673323997e-13
v100_t050_r0125,0.49,0.049,0.010956974654118204,0.01095758602290894,6.11368790736852e-07,2.324766960143587e-08,2.3247408594920424e-08,2.610065154473947e-13
v100_t050_r0125,0.5,0.05,0.010869574405853101,0.010870175832881449,6.014270283478257e-07,2.328762457584062e-08,2.3287367362722537e-08,2.572131180845508e-13
v100_t050_r0125,0.51,0.051000000000000004,0.010783375078874611,0.010783966733272973,5.91654398361327e-07,2.332706550370724e-08,2.33268120331162e-08,2.534705910389772e-13
v100_t050_r0125,0.52,0.052000000000000005,0.010698357089924221,0.010698939138290717,5.820483664955439e-07,2.336599990336754e-08,2.3365750124694664e-08,2.4977867287527816e-13
v100_t050_r0125,0.53,0.053000000000000005,0.010614501191846851,0.010615073798253244,5.72606406392881e-07,2.340443519014697e-08,2.340418905307058e-08,2.461370763897276e-13
v100_t050_r0125,0.54,0.054000000000000006,0.010531788468406652,0.010532351794408049,5.633260013963165e-07,2.344237867701053e-08,2.3442136131520122e-08,2.4254549040690516e-13
v100_t050_r0125,0.55,0.05500000000000001,0.010450200329128282,0.010450754533775265,5.542046469832196e-07,2.347983757525386e-08,2.3479598571672128e-08,2.3900358173184274e-13
v100_t050_r0125,0.56,0.05600000000000001,0.010369718504167331,0.010370263744020121,5.452398527897723e-07,2.351681899523596e-08,2.351658348423915e-08,2.355109968076942e-13
v100_t050_r0125,0.5700000000000001,0.05700000000000001,0.010290325039213732,0.010290861468357651,5.364291439189511e-07,2.355332994715035e-08,2.355309787978715e-08,2.3206736320135175e-13
v100_t050_r0125,0.58,0.057999999999999996,0.010212002290431371,0.010212530060494758,5.277700633864874e-07,2.358937734183115e-08,2.3589148669539653e-08,2.286722914960354e-13
v100_t050_r0125,0.59,0.059,0.010134732919437471,0.010135252179610128,5.192601726568963e-07,2.362496799159143e-08,2.3624742666215076e-08,2.2532537635339266e-13
v100_t050_r0125,0.6,0.06,0.010058499888323722,0.010059010785377511,5.108970537893304e-07,2.366010861109085e-08,2.365988658489273e-08,2.220261981215377e-13
v100_t050_r0125,0.61,0.061,0.009983286454722465,0.009983789133032647,5.026783101817756e-07,2.369480581822992e-08,2.369458704390584e-08,2.1877432408243977e-13
v100_t050_r0125,0.62,0.062,0.00990907616691988,0.009909570768487747,4.946015678668897e-07,2.372906613506829e-08,2.372885056575856e-08,2.1556930972909001e-13
v100_t050_r0125,0.63,0.063,0.009835852859018121,0.009836339523494718,4.866644765962047e-07,2.376289598876485e-08,2.376268357806518e-08,2.1241069967209145e-13
v100_t050_r0125,0.64,0.064,0.009763600646148592,0.009764079510859296,4.788647107040189e-07,2.379630171253729e-08,2.3796092414508036e-08,2.092980292543155e-13
v100_t050_r0125,0.65,0.065,0.009692303919737789,0.009692775119707297,4.7119996950811815e-07,2.382928954663897e-08,2.382908331581401e-08,2.062308249611836e-13
v100_t050_r0125,0.66,0.066,0.00962194734282701,0.009622411010805652,4.6366797864204334e-07,2.386186563935108e-08,2.3861662430745315e-08,2.0320860576400847e-13
v100_t050_r0125,0.67,0.067,0.009552515845447715,0.009552972111938127,4.562664904124436e-07,2.389403604798845e-08,2.3893835817104354e-08,2.0023088409606732e-13
