row_index,row_uid,curve_id,split,kind,topology,selection_role,primary_axis_v,vds_v,ngspice_current_a_per_cm,xyce_current_a_per_cm,absolute_difference_a_per_cm,log_difference_dec
75,train_t02_dual_secondary_m0p3:009,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,-0.05,0.01,1.0208528919573316e-32,3.4935733185365197e-09,3.4935733185365197e-09,11.543269862089204
76,train_t02_dual_secondary_m0p3:010,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,0.0,0.01,1.0208528919573316e-32,1.0142492970454861e-08,1.0142492970454861e-08,12.006144715376244
77,train_t02_dual_secondary_m0p3:011,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,0.05,0.01,1.0208528919573316e-32,2.8965668020555967e-08,2.8965668020555967e-08,12.461883548864623
78,train_t02_dual_secondary_m0p3:012,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,0.1,0.01,1.0208528919573316e-32,8.0352608346769067e-08,8.0352608346769067e-08,12.904999979073509
79,train_t02_dual_secondary_m0p3:013,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,0.15,0.01,1.0208528919573316e-32,2.1219495476328748e-07,2.1219495476328748e-07,13.326735053719364
80,train_t02_dual_secondary_m0p3:014,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,0.2,0.01,1.0208528919573316e-32,5.1848040845797353e-07,5.1848040845797353e-07,13.714732350581674
81,train_t02_dual_secondary_m0p3:015,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,0.25,0.01,1.0208528919573316e-32,1.1347247413721522e-06,1.1347247413721522e-06,14.054890524259315
82,train_t02_dual_secondary_m0p3:016,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,0.3,0.01,1.0208528919573316e-32,2.1689928627233429e-06,2.1689928627233429e-06,14.336258122929376
83,train_t02_dual_secondary_m0p3:017,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,0.35,0.01,1.0208528919573316e-32,3.6006507865342801e-06,3.6006507865342801e-06,14.556381002838805
84,train_t02_dual_secondary_m0p3:018,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,0.4,0.01,1.0208528919573316e-32,5.27463099742384e-06,5.27463099742384e-06,14.722192082663931
85,train_t02_dual_secondary_m0p3:019,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,0.45,0.01,1.0208528919573316e-32,7.0101011550875994e-06,7.0101011550875994e-06,14.845724284839612
86,train_t02_dual_secondary_m0p3:020,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,0.5,0.01,1.0208528919573316e-32,8.6903684423212757e-06,8.6903684423212757e-06,14.939038189460748
87,train_t02_dual_secondary_m0p3:021,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,0.55,0.01,1.0208528919573316e-32,1.0271257533827885e-05,1.0271257533827885e-05,15.011623618530901
88,train_t02_dual_secondary_m0p3:022,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,0.6,0.01,1.0208528919573316e-32,1.175112652232194e-05,1.175112652232194e-05,15.070079502265354
89,train_t02_dual_secondary_m0p3:023,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,0.65,0.01,1.0208528919573316e-32,1.3144364293803361e-05,1.3144364293803361e-05,15.118739586990927
90,train_t02_dual_secondary_m0p3:024,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,0.7,0.01,1.0208528919573316e-32,1.4467775633109678e-05,1.4467775633109678e-05,15.160401765084195
91,train_t02_dual_secondary_m0p3:025,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,0.75,0.01,1.0208528919573316e-32,1.5735684095559413e-05,1.5735684095559413e-05,15.196885628245006
92,train_t02_dual_secondary_m0p3:026,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,0.8,0.01,1.0208528919573316e-32,1.6959020240564963e-05,1.6959020240564963e-05,15.229400758509897
