row_index,row_uid,curve_id,dataset_id,split,kind,topology,selection_role,optimizer_input,vbg_v,vtg_v,vds_v,primary_axis_v,target_current_a_per_cm,model_current_a_per_cm,w_um,l_um,temperature_k,route,source_current_a,current_a_per_cm,finite_current
58,train_t01_single_idvd_vgs_0p5:002,train_t01_single_idvd_vgs_0p5,T01_D_B_IDVD,train,output,single_bottom_gate,scored,True,0.5,0.0,0.05,0.05,0.0001052667090477718,0.00011968599431835312,60.0,10.0,300.0,ngspice,-4.7608032302824349e-07,7.9346720504707243e-05,True
59,train_t01_single_idvd_vgs_0p5:003,train_t01_single_idvd_vgs_0p5,T01_D_B_IDVD,train,output,single_bottom_gate,scored,True,0.5,0.0,0.1,0.1,0.000200014905089826,0.00022748672321089815,60.0,10.0,300.0,ngspice,-8.6594692464626921e-07,0.00014432448744104487,True
60,train_t01_single_idvd_vgs_0p5:004,train_t01_single_idvd_vgs_0p5,T01_D_B_IDVD,train,output,single_bottom_gate,scored,True,0.5,0.0,0.2,0.2,0.0003561717502476149,0.0004052016283926556,60.0,10.0,300.0,ngspice,-1.3418627389324331e-06,0.00022364378982207218,True
61,train_t01_single_idvd_vgs_1p0:000,train_t01_single_idvd_vgs_1p0,T01_D_B_IDVD,train,output,single_bottom_gate,zero_vds_invariant,False,1.0,0.0,0.0,0.0,3.379165716833452e-19,0.0,60.0,10.0,300.0,ngspice,0,0,True
62,train_t01_single_idvd_vgs_1p0:001,train_t01_single_idvd_vgs_1p0,T01_D_B_IDVD,train,output,single_bottom_gate,repeated_low_vds_audit,False,1.0,0.0,0.01,0.01,3.800270837723992e-05,4.1541764820800267e-05,60.0,10.0,300.0,ngspice,-1.667646901570724e-07,2.7794115026178732e-05,True
63,train_t01_single_idvd_vgs_1p0:002,train_t01_single_idvd_vgs_1p0,T01_D_B_IDVD,train,output,single_bottom_gate,scored,True,1.0,0.0,0.05,0.05,0.00018645946223379113,0.00020386865943263725,60.0,10.0,300.0,ngspice,-8.0708009257836094e-07,0.00013451334876306016,True
64,train_t01_single_idvd_vgs_1p0:003,train_t01_single_idvd_vgs_1p0,T01_D_B_IDVD,train,output,single_bottom_gate,scored,True,1.0,0.0,0.1,0.1,0.0003612710661579342,0.0003980360775835718,60.0,10.0,300.0,ngspice,-1.5460319106148409e-06,0.00025767198510247351,True
65,train_t01_single_idvd_vgs_1p0:004,train_t01_single_idvd_vgs_1p0,T01_D_B_IDVD,train,output,single_bottom_gate,scored,True,1.0,0.0,0.2,0.2,0.0006652668981208667,0.0007565363758128946,60.0,10.0,300.0,ngspice,-2.809513829533538e-06,0.00046825230492225634,True
66,train_t02_dual_secondary_m0p3:000,train_t02_dual_secondary_m0p3,T02_C_DG_TRANSFER,train,transfer,symmetric_dual_gate,scored,True,-0.3,-0.5,0.01,-0.5,3.802631747464787e-13,2.0430009118148662e-13,60.0,10.0,300.0,ngspice,-1.2258005470889149e-15,2.0430009118148581e-13,True
67,train_t02_dual_secondary_m0p3:001,train_t02_dual_secondary_m0p3,T02_C_DG_TRANSFER,train,transfer,symmetric_dual_gate,scored,True,-0.3,-0.45,0.01,-0.45,9.531624202190283e-13,6.048916754412444e-13,60.0,10.0,300.0,ngspice,-3.6293500526607226e-15,6.0489167544345375e-13,True
68,train_t02_dual_secondary_m0p3:002,train_t02_dual_secondary_m0p3,T02_C_DG_TRANSFER,train,transfer,symmetric_dual_gate,scored,True,-0.3,-0.4,0.01,-0.4,2.4205511186451624e-12,1.7908505972153889e-12,60.0,10.0,300.0,ngspice,-1.0745103583291709e-14,1.7908505972152849e-12,True
69,train_t02_dual_secondary_m0p3:003,train_t02_dual_secondary_m0p3,T02_C_DG_TRANSFER,train,transfer,symmetric_dual_gate,scored,True,-0.3,-0.35,0.01,-0.35,6.230953865413727e-12,5.301393892498452e-12,60.0,10.0,300.0,ngspice,-3.1808363354990711e-14,5.3013938924984514e-12,True
70,train_t02_dual_secondary_m0p3:004,train_t02_dual_secondary_m0p3,T02_C_DG_TRANSFER,train,transfer,symmetric_dual_gate,scored,True,-0.3,-0.3,0.01,-0.3,1.6264038843614528e-11,1.569008925477495e-11,60.0,10.0,300.0,ngspice,-9.4140535528586399e-14,1.56900892547644e-11,True
71,train_t02_dual_secondary_m0p3:005,train_t02_dual_secondary_m0p3,T02_C_DG_TRANSFER,train,transfer,symmetric_dual_gate,scored,True,-0.3,-0.25,0.01,-0.25,4.305034653376105e-11,4.641758673157067e-11,60.0,10.0,300.0,ngspice,-2.7850552038939329e-13,4.6417586731565547e-11,True
72,train_t02_dual_secondary_m0p3:006,train_t02_dual_secondary_m0p3,T02_C_DG_TRANSFER,train,transfer,symmetric_dual_gate,scored,True,-0.3,-0.2,0.01,-0.2,1.1554028788316725e-10,1.3721670256760923e-10,60.0,10.0,300.0,ngspice,-8.2330021540560363e-13,1.372167025676006e-10,True
73,train_t02_dual_secondary_m0p3:007,train_t02_dual_secondary_m0p3,T02_C_DG_TRANSFER,train,transfer,symmetric_dual_gate,scored,True,-0.3,-0.15,0.01,-0.15,3.142849302647695e-10,4.050521079852108e-10,60.0,10.0,300.0,ngspice,-2.430312647911265e-12,4.0505210798521085e-10,True
74,train_t02_dual_secondary_m0p3:008,train_t02_dual_secondary_m0p3,T02_C_DG_TRANSFER,train,transfer,symmetric_dual_gate,scored,True,-0.3,-0.1,0.01,-0.1,8.658782775411904e-10,1.1925049618873475e-09,60.0,10.0,300.0,ngspice,-7.1550297713239168e-12,1.1925049618873194e-09,True
75,train_t02_dual_secondary_m0p3:009,train_t02_dual_secondary_m0p3,T02_C_DG_TRANSFER,train,transfer,symmetric_dual_gate,scored,True,-0.3,-0.05,0.01,-0.05,2.413799429556351e-09,3.4935733185365387e-09,60.0,10.0,300.0,ngspice,-2.0961439911219059e-11,3.4935733185365097e-09,True
76,train_t02_dual_secondary_m0p3:010,train_t02_dual_secondary_m0p3,T02_C_DG_TRANSFER,train,transfer,symmetric_dual_gate,scored,True,-0.3,0.0,0.01,0.0,6.798036727848865e-09,1.0142492970454956e-08,60.0,10.0,300.0,ngspice,-6.0854957822729037e-11,1.014249297045484e-08,True
77,train_t02_dual_secondary_m0p3:011,train_t02_dual_secondary_m0p3,T02_C_DG_TRANSFER,train,transfer,symmetric_dual_gate,scored,True,-0.3,0.05,0.01,0.05,1.9287772026257463e-08,2.8965668020555908e-08,60.0,10.0,300.0,ngspice,-1.7379400812333621e-10,2.8965668020556033e-08,True
78,train_t02_dual_secondary_m0p3:012,train_t02_dual_secondary_m0p3,T02_C_DG_TRANSFER,train,transfer,symmetric_dual_gate,scored,True,-0.3,0.1,0.01,0.1,5.4795936219161016e-08,8.035260834676905e-08,60.0,10.0,300.0,ngspice,-4.8211565008061252e-10,8.035260834676875e-08,True
79,train_t02_dual_secondary_m0p3:013,train_t02_dual_secondary_m0p3,T02_C_DG_TRANSFER,train,transfer,symmetric_dual_gate,scored,True,-0.3,0.15,0.01,0.15,1.5362256518591723e-07,2.1219495476328846e-07,60.0,10.0,300.0,ngspice,-1.273169728579726e-09,2.1219495476328767e-07,True
