route,case_id,vdd_v,v_top_load_v,v_top_load_over_vdd,wload_over_wdriver,vin_fraction,vin_v,vout_v,supply_current_a,static_power_w,finite
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.02,0.004,0.08767110229935103,4.814398185843728e-08,9.628796371687457e-09,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.03,0.006,0.08591654613578578,4.9342843635693906e-08,9.868568727138782e-09,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.04,0.008,0.08417158727627923,5.0547874204773553e-08,1.010957484095471e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.05,0.010000000000000002,0.0824385517277965,5.175717355868409e-08,1.0351434711736819e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.06,0.012,0.08071980359374012,5.296875215369414e-08,1.0593750430738828e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.07,0.014000000000000002,0.07901771950247256,5.418054987653156e-08,1.0836109975306312e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.08,0.016,0.07733466060266113,5.5390458053326364e-08,1.1078091610665274e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.09,0.018,0.07567294295232803,5.659634395426844e-08,1.1319268790853689e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.1,0.020000000000000004,0.07403480729360301,5.7796077062958475e-08,1.1559215412591696e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.11,0.022000000000000002,0.07242238931218538,5.8987556231215215e-08,1.1797511246243043e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.12,0.024,0.07083769151364162,6.016873674638965e-08,1.2033747349277931e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.13,0.026000000000000002,0.06928255779977477,6.133765631163942e-08,1.2267531262327884e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.14,0.028000000000000004,0.06775865169876308,6.249245898533671e-08,1.2498491797067342e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.15,0.03,0.06626743900368844,6.363141624049384e-08,1.2726283248098768e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.16,0.032,0.06481017532481242,6.475294447729765e-08,1.295058889545953e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.17,0.034,0.06338789878624039,6.585561853365475e-08,1.317112370673095e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.18,0.036,0.062001427823764874,6.693818096860022e-08,1.3387636193720045e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.19,0.038000000000000006,0.06065136379188991,6.79995471196985e-08,1.35999094239397e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.2,0.04000000000000001,0.05933809788326615,6.903880613900271e-08,1.3807761227800543e-08,True
